라파,146,70 
하차,165,43 
가가,195,98 
아나,150,55 
라하,144,79 
카바,167,53 
하나,156,45 
가마,183,75 
차자,174,64 
가나,160,68 
마타,170,46 
아타,175,87 
가라,140,92 
카자,155,49 
파자,148,84 
다나,148,79 
하자,173,41 
타나,196,77 
나가,198,63 
하차,162,49 
파라,195,96 
파다,145,96 
타자,199,80 
가나,140,87 
자라,179,54 
나바,141,57 
바파,196,75 
다하,156,86 
사카,190,99 
가사,184,88 
하아,189,58 
바가,184,86 
차카,160,85 
파아,196,76 
차마,160,95 
바라,154,42 
차타,177,98 
바타,190,93 
파마,165,99 
아다,190,84 
자바,158,98 
가가,158,96 
파아,178,66 
아자,195,40 
파파,152,44 
마사,199,68 
파마,165,57 
마자,177,62 
차카,151,66 
타라,179,58 
차가,159,57 
차마,149,57 
라차,191,61 
카라,193,47 
사아,143,84 
바아,160,65 
아사,179,92 
나차,141,99 
파하,173,82 
타아,141,86 
아바,197,74 
바가,149,87 
가마,178,99 
타하,189,40 
바하,156,62 
사자,159,91 
아나,169,84 
라하,142,72 
카마,182,53 
자카,168,53 
아타,151,90 
사사,164,73 
바바,178,70 
타바,181,51 
파차,169,51 
마가,181,55 
카마,173,76 
사바,177,81 
타마,172,80 
아하,159,50 
가바,168,96 
아아,153,76 
가라,153,59 
카마,149,66 
자하,179,70 
자가,188,96 
사아,160,90 
자바,174,88 
다아,163,92 
마가,190,45 
차카,170,57 
바자,152,73 
하가,188,57 
마타,140,52 
다하,160,65 
바자,188,53 
타바,156,89 
파가,150,45 
카마,165,98 
하바,199,57 
아다,187,99 
차나,141,42 
아가,163,45 
카나,191,60 
아파,199,62 
아라,147,97 
다아,175,95 
하파,183,91 
바사,178,82 
차나,187,40 
차타,141,92 
가타,157,90 
차마,140,98 
마카,142,85 
아카,193,74 
바다,157,79 
아파,187,60 
타바,187,85 
마아,180,72 
바가,173,88 
차마,159,78 
아타,181,74 
가바,166,82 
파라,174,44 
라사,197,54 
파타,196,94 
가아,146,40 
파사,190,67 
바바,166,56 
타타,165,88 
사아,155,62 
바마,196,86 
파하,175,42 
차타,189,45 
마라,177,92 
차파,160,46 
자하,195,54 
나차,192,53 
아나,155,53 
아사,178,98 
바사,189,45 
차타,141,91 
하카,147,74 
사라,151,86 
다바,173,93 
바바,148,67 
다자,171,73 
가바,144,43 
사마,186,66 
아아,162,98 
사자,167,56 
나다,176,50 
아하,158,72 
파파,194,67 
바다,147,89 
바하,141,51 
차타,182,49 
하사,166,90 
하타,193,76 
아아,161,91 
자마,181,96 
타마,186,40 
차사,158,42 
바타,157,63 
라바,188,51 
차파,154,89 
바하,164,91 
카차,179,56 
아마,174,87 
카다,148,66 
차타,187,96 
마라,175,96 
다하,152,49 
카차,191,55 
타가,140,68 
바파,178,63 
아자,140,53 
라가,171,53 
나타,189,70 
자타,194,48 
타라,145,69 
라다,172,93 
가마,154,77 
파라,188,78 
마카,177,43 
차바,174,75 
차사,141,79 
사타,150,56 
다사,188,74 
파바,186,74 
바바,144,74 
아마,190,55 
아가,143,82 
차라,175,41 
하나,147,67 
아다,172,45 
마라,181,79 
가다,191,86 
마파,168,97 
바가,175,61 
나파,191,57 
사사,197,97 
자파,141,92 
차바,167,58 
라마,199,56 
아타,171,65 
타자,173,73 
자마,193,47 
카다,156,96 
아아,167,67 
가하,154,51 
마사,173,60 
자파,166,48 
하사,182,88 
라카,148,89 
자사,176,85 
아가,185,80 
파라,175,65 
차사,194,60 
가타,151,81 
가라,195,69 
하다,189,82 
다파,183,71 
파사,148,56 
라라,173,93 
다하,176,53 
가파,197,75 
차사,157,60 
나아,145,84 
카카,143,72 
마카,151,76 
아나,140,99 
파차,182,40 
자마,172,68 
하하,164,56 
사바,188,83 
나자,169,81 
카카,156,56 
라하,196,45 
사카,188,46 
마나,143,83 
타카,164,48 
하가,175,41 
바타,156,79 
마자,199,50 
가사,145,92 
가나,168,68 
나바,167,76 
마자,174,83 
자타,149,46 
파하,178,84 
다타,140,97 
타사,172,53 
마다,173,90 
타파,154,90 
자가,149,56 
차마,191,80 
바파,164,96 
카마,199,81 
바라,146,97 
나나,152,98 
하하,140,52 
자바,186,77 
파나,198,83 
마라,182,73 
바가,166,95 
카사,141,60 
카파,154,97 
타파,177,82 
차파,181,82 
아라,181,59 
차하,164,62 
라타,171,47 
나라,154,42 
다마,199,66 
가차,171,81 
파가,158,46 
바마,144,58 
사마,146,93 
파라,177,46 
바마,187,85 
사파,169,64 
바다,194,99 
파마,154,70 
마차,156,82 
아사,146,79 
사차,159,67 
마파,167,45 
마아,150,48 
카아,183,97 
하다,187,97 
나자,177,60 
라가,190,57 
바나,160,96 
바마,182,80 
자카,196,62 
다사,166,48 
카사,156,94 
바자,191,97 
라사,161,40 
차마,186,92 
사하,156,49 
사파,150,66 
라카,154,88 
나나,159,63 
가타,159,89 
